timestamp,srcip,state,attack_cat,prob_attack
2025-05-14 20:26:36,208.155.126.97,SF,Exploits,0.625
2025-05-14 20:26:36,240.179.213.24,SF,Exploits,0.633
2025-05-14 20:26:37,168.184.106.75,SF,Fuzzers,0.627
2025-05-14 20:26:37,15.67.26.64,SF,Exploits,0.674
2025-05-14 20:26:37,45.142.91.77,SF,Exploits,0.605
2025-05-14 20:26:38,103.121.220.45,SF,Exploits,0.705
2025-05-14 20:26:38,224.230.70.155,SF,Fuzzers,0.695
2025-05-14 20:26:38,83.228.78.97,SF,Exploits,0.616
2025-05-14 20:26:38,44.106.150.147,SF,Exploits,0.663
2025-05-14 20:26:39,131.127.93.198,SF,Exploits,0.616
2025-05-14 20:26:39,80.93.27.167,SF,DoS,0.721
2025-05-14 20:26:39,193.235.126.206,SF,Exploits,0.652
2025-05-14 20:26:39,127.229.22.81,SF,Fuzzers,0.695
2025-05-14 20:26:39,125.118.214.247,SF,Fuzzers,0.634
2025-05-14 20:26:39,84.250.138.60,SF,Exploits,0.663
2025-05-14 20:26:40,170.72.81.170,SF,Exploits,0.616
2025-05-14 20:26:40,142.58.73.239,SF,Exploits,0.717
2025-05-14 20:26:40,226.21.4.124,SF,Exploits,0.657
2025-05-14 20:26:40,29.244.104.2,SF,Exploits,0.662
2025-05-14 20:26:40,253.86.170.229,SF,Fuzzers,0.604
2025-05-14 20:26:40,40.175.117.171,SF,Exploits,0.613
2025-05-14 20:26:41,71.186.105.43,SF,Fuzzers,0.654
2025-05-14 20:26:41,144.145.84.112,SF,Exploits,0.604
2025-05-14 20:26:41,173.50.217.215,SF,Fuzzers,0.607
2025-05-14 20:26:41,240.207.44.129,SF,DoS,0.723
2025-05-14 20:26:41,15.212.142.79,SF,Exploits,0.653
2025-05-14 20:26:41,91.71.125.249,SF,Exploits,0.681
2025-05-14 20:26:41,186.152.85.168,SF,Exploits,0.699
2025-05-14 20:26:41,16.22.4.17,SF,Exploits,0.635
2025-05-14 20:26:42,9.53.145.35,SF,Exploits,0.680
2025-05-14 20:26:42,2.251.5.139,SF,Exploits,0.612
2025-05-14 20:26:42,250.229.27.176,SF,Exploits,0.604
2025-05-14 20:26:42,134.79.234.166,SF,DoS,0.677
2025-05-14 20:26:42,232.245.25.12,SF,Exploits,0.714
2025-05-14 20:26:42,3.20.82.82,SF,Exploits,0.651
2025-05-14 20:26:43,38.244.11.243,SF,DoS,0.605
2025-05-14 20:26:43,1.214.82.193,SF,Exploits,0.680
2025-05-14 20:26:43,63.21.255.43,SF,Exploits,0.605
2025-05-14 20:26:43,246.204.201.110,SF,Exploits,0.700
2025-05-14 20:26:43,146.78.175.131,SF,Exploits,0.619
2025-05-14 20:26:43,72.58.110.201,SF,Exploits,0.634
2025-05-14 20:26:44,100.209.56.18,SF,Exploits,0.734
2025-05-14 20:26:44,186.120.120.56,SF,Exploits,0.663
2025-05-14 20:26:44,226.59.79.81,SF,Fuzzers,0.700
2025-05-14 20:26:44,71.246.238.218,SF,Exploits,0.662
2025-05-14 20:26:44,188.208.151.140,SF,Fuzzers,0.745
2025-05-14 20:26:44,200.254.244.26,SF,Exploits,0.677
2025-05-14 20:26:45,117.239.43.7,SF,Exploits,0.634
2025-05-14 20:26:45,62.139.219.238,SF,Exploits,0.625
2025-05-14 20:26:45,57.56.163.121,SF,Exploits,0.675
2025-05-14 20:26:45,114.89.152.180,SF,Exploits,0.722
2025-05-14 20:26:45,112.129.85.237,SF,Exploits,0.625
2025-05-14 20:26:46,144.197.192.151,SF,Exploits,0.670
2025-05-14 20:26:46,19.196.56.148,SF,Exploits,0.666
2025-05-14 20:26:46,144.250.178.63,SF,Exploits,0.646
2025-05-14 20:26:46,94.41.61.184,SF,Exploits,0.689
2025-05-14 20:26:47,165.219.235.254,SF,Fuzzers,0.618
2025-05-14 20:26:47,192.221.43.164,SF,Exploits,0.686
2025-05-14 20:26:47,77.18.144.220,SF,Fuzzers,0.667
2025-05-14 20:26:47,63.248.161.213,SF,Fuzzers,0.622
2025-05-14 20:26:47,190.242.103.185,SF,Fuzzers,0.625
2025-05-14 20:26:48,85.88.185.239,REJ,Exploits,0.637
2025-05-14 20:26:48,53.165.186.152,SF,Exploits,0.658
2025-05-14 20:26:48,241.139.86.29,SF,Exploits,0.611
2025-05-14 20:26:48,28.202.134.50,SF,DoS,0.646
2025-05-14 20:26:48,97.189.134.32,SF,Fuzzers,0.611
2025-05-14 20:26:48,93.4.183.203,SF,DoS,0.726
2025-05-14 20:26:49,11.243.22.118,SF,Fuzzers,0.681
2025-05-14 20:26:49,233.82.134.1,SF,Exploits,0.641
2025-05-14 20:26:49,157.56.223.114,SF,Exploits,0.667
2025-05-14 20:26:49,145.171.233.150,SF,Exploits,0.664
2025-05-14 20:26:49,207.215.9.214,SF,Fuzzers,0.612
2025-05-14 20:26:49,117.176.93.237,SF,Fuzzers,0.688
2025-05-14 20:26:50,88.214.94.39,SF,Exploits,0.638
